,Points de Ramassage ,Localisation Coordonnées GPS,n min,n max,temps d'arrivée,temps de départ,Population,Ligne,Distance(km)
217,"SARL djaouad","[36.7989144, 2.912586]",2,2,,,,Ain beniane 2,0.18480000000000002
218,Entrée cheraga,"[36.7708781, 2.9185673]",2,4,,, ,Ain beniane 2,5.298100000000001
219,Sidi serhan,"[36.5043507, 2.9989471]",1,1,,,,Bouinane,0.0
220,Boulangerie serine,"[36.5312584, 2.9614887]",2,2,,,G1,Bouinane,6.3152
221,AADL 2000,"[36.532533, 2.9612486]",1,1,,,,Bouinane,0.1779
222,AADL 3000,"[36.5389002, 2.9598492]",1,1,,,G1,Bouinane,2.332
223,Haouch lgereoun,"[36.5399355, 2.9670325]",1,1,,,,Bouinane,1.1755
224,Hai wouroud,"[36.5399435, 2.9680923]",2,2,,,G1,Bouinane,0.0947
225,3100 arrêt 1,"[36.5386282, 2.9810949]",1,1,,,,Bouinane,1.572
226,Cem chetouan,"[36.5352862, 2.9823449]",4,4,,,G1,Bouinane,0.5257999999999999
227,Cem 2,"[36.5350728, 2.9812287]",2,2,,,,Bouinane,0.1291
228,Arrêt prochain,"[36.5342056, 2.9822899]",3,3,,,G1,Bouinane,0.1885
229,Déviation,"[36.5342636, 2.9870199]",6,6,,,G2,Bouinane,0.4305
230,4500,"[36.5387839, 2.9929835]",4,4,,,,Bouinane,1.504
231,Tabainat,"[36.53461, 3.0411999]",3,3,,,G2,Bouinane,4.993600000000001
232,AADL Aslan,"[36.6803586, 2.8421662]",5,5,7h00,7h00,,Sidi abdellah,0.0
233,Aslan rond Point 2,"[36.6783809, 2.8421015]",6,6,7h01,7h01,C1,Sidi abdellah,0.2496
234,Cem sidi Abdellah,"[36.6718237, 2.8431476]",1,1,,,,Sidi abdellah,0.7429
235,AADL 5000,"[36.6745744, 2.8480758]",4,4,,,G1,Sidi abdellah,1.0471
236,"5000 arrêt 2","[36.676632, 2.8498719]",1,1,,,,Sidi abdellah,1.7394
237,"Bâtiment N8","[36.6813744, 2.8509558]",2,2,,,,Sidi abdellah,0.6332000000000001
238,Bâtiment R1,"[36.6809972, 2.8554284]",3,3,,,,Sidi abdellah,0.5038
239,Boucherie lina,"[36.6860044, 2.854209]",2,3,,,,Sidi abdellah,1.4662
240,Boulevard Hocine ait ahmed,"[36.6873662, 2.8570981]",1,1,,,,Sidi abdellah,0.2989
241,Air de sport,"[36.6901739, 2.8601893]",2,2,,,G1,Sidi abdellah,0.7017
242,"New Town","[36.6901736, 2.8556762]",1,1,,,,Sidi abdellah,0.7182000000000001
243,"CAAR sidi Abdellah","[36.6902949, 2.8541725]",1,1,,,,Sidi abdellah,0.1492
244,"Poste sidi Abdellah","[36.6909272, 2.8503416]",6,6,,,"G1, C1, P1",Sidi abdellah,0.35760000000000003
245,Hôpital des grands brûlés zeralda,"[36.6990339, 2.8441142]",1,1,,,,Sidi abdellah,1.2953
246,Cité police sidi menif,"[36.6939256, 2.8253458]",2,3,7h00,7h00,"S1, G1",Zeralda,0.0
247,Sidi menif,"[36.6972701, 2.8240784]",1,1,7h02,7h02,G1,Zeralda,0.4677
248,Gare routière zeralda,"[36.7128185, 2.833789]",1,3,7h10,7h10,"S1, G1",Zeralda,2.2617
249,Beridja,"[36.7429712, 2.8702443]",1,3,7h17,7h17,S2,Zeralda,5.392600000000001
250,Hôtel riad,"[36.7573598, 2.8518799]",1,1,7h20,7h20,,Zeralda,2.3275
251,Centre de  vacances netcom,"[36.7561903, 2.8589106]",1,1,7h22,7h22,,Zeralda,0.6424
252,Hai Khaled ibn walid,"[36.7506361, 2.8720994]",1,1,7h25,7h25,,Zeralda,1.3699000000000001
253,Staoueli centre,"[36.748613, 2.8852667]",4,5,7h30,7h30,"M1, S1",Zeralda,1.5294
254,Parc communal,"[36.7554013, 2.8888813]",0,1,7h32,7h32,V1,Zeralda,0.8332
255,Club des pins,"[36.7649186, 2.8958952]",1,1,7h35,7h35,,Zeralda,1.2478
256,AADL 3000 logement,"[36.6315561, 3.3427134]",2,2,6h25,6h25,,Khmiss el khechna ,0.0
257,Rond point pompiers,"[36.6607315, 3.3308966]",0,1,6h38,6h38,,Khmiss el khechna ,4.5747
258,El djoumhouria,"[36.6753921, 3.1938816]",1,1,6h55,6h55,,Khmiss el khechna ,18.7781
259,Remadnia,"[36.6670436, 3.1790517]",1,1,7h02,7h02,G1,Khmiss el khechna ,2.234
260,Hai El amir ,"[36.6745112, 3.1701665]",1,1,7h05,7h05,,Khmiss el khechna ,1.2012
261,Ouled El hadj,"[36.6603604, 3.1548173]",3,4,7h13,7h13,"S1, C2",Khmiss el khechna ,5.718100000000001
262,Foyer,"[36.6639608, 3.1479817]",3,3,7h17,7h17,,Khmiss el khechna ,0.9183
263,AADL lotissement,"[36.6659278, 3.1446658]",3,3,7h20,7h20,C1,Khmiss el khechna ,0.6267999999999999
264,Rond Point eucalyptus,"[36.6526068, 3.1473131]",0,1,7h30,7h30,V1,Khmiss el khechna ,1.5212
265,Baba Ali autoroute,"[36.6489295, 3.0475202]",1,2,7h40,7h40,C1,Khmiss el khechna ,9.6102
266,Crèche la fonton,"[36.7865576, 3.0240143]",1,1,07h10,07h10,,Bouzereah 1,0.0
267,Dar El alia,"[36.7900845, 3.0189476]",1,1,07h15,07h15,,Bouzereah 1,1.2183
268,Cimetière sidi Mhamed,"[36.7927694, 3.0117734]",2,2,07h20,07h20,G2,Bouzereah 1,0.7417999999999999
