,,,,,,,,,,,,,,,
,Points de Ramassage ,,Localisation Coordonnées GPS,,,n min,n max,temps d'arrivée,temps de départ,Population,Ligne,Remarque,,Code,Signification
,"Rue Bouderbala
",,"36,7346432, 2,9528406
",,,1,1,7h20,7h20,,Baba hassen, ,,,
,"Quatre chemins
",,"36,7371468, 2,9498053
",,,2,2,7h21,7h21,M2,Baba hassen, ,,,
,"Supérette Belkacemi
",,"36,7403189, 2,9503800
",,,3,3,7h25,7h25,G1,Baba hassen, ,,,
,"Rond Point Ooredoo
",,"36,7444996, 2,9500443
",,,3,3,7h26,7h26,B1,Baba hassen, ,,,
,Bessa,,"36,7452148, 2,9444975
",,,2,2,7h30,7h30,,Baba hassen, ,,,
,"Mojam3 khalifa
",,"36,7533829, 2,9440758
",,,1,1,7h35,7h35,,Baba hassen, ,,,
,Cité hayat grossiste,,"36,7046687, 3,0894173
",,,1,1,6h45,6h45,,Ain naadja, ,,,
,"Arrêt de bus cité hayat
",,"36,7047625, 3,0944615
",,,1,1,6h50,6h50,C1,Ain naadja, ,,,
,Semar,,"36,6955461, 3,0916311
",,,1,1,6h55,6h55,C1,Ain naadja, ,,,
,ain naadja escaliers,,"36,6941910, 3,0781493
",,,1,1,7h00,7h00,,Ain naadja, ,,,
,"Mosquée El Rahman
",,"36,6958916, 3,0769313
",,,3,3,7h02,7h02,G3,Ain naadja, ,,,
,Chateau,,"36,7031446, 3,0711592
",,,2,3,7h05,7h05,S3,Ain naadja, ,,,
,"Sorecal ain naadja
",,"36,7059562, 3,0643799
",,,4,4,7h10,7h10,C1,Ain naadja, ,,,
,"Zonka banque
",,"36,7114274, 3,0620236
",,,0,1,7h12,7h12,V1,Ain naadja, ,,,
,Sidi mbarek,,"36,7148864, 3,0545959
",,,1,1,7h13,7h13,,Ain naadja, ,,,
,"Birkhadem
",,"36,7160238, 3,0498812
",,,4,5,7h15,7h15,G2,Ain naadja, ,,,
,"Les vergers ( colital )
",,"36,7236208, 3,0500582
",,,2,2,7h20,7h20,S1,Ain naadja, ,,,
,"La côte
",,"36,7325113, 3,0495409
",,,1,1,7h30,7h30,,Ain naadja, ,,,
,La wilaya,,"36,7778772, 3,0604582
",,,0,1,7h05,7h05,V1,Mauritania, ,,,
,"Hôtel la famille
",,"36,7896041, 3,0599690
",,,4,4,7h10,7h10,,Mauritania, ,,,
,"Okba
",,"36,7891007, 3,0573404
",,,0,1,7h13,7h13,V1,Mauritania, ,,,
,"Serkaji
",,"36,7857822, 3,0556295
",,,3,3,7h17,7h17,G3,Mauritania, ,,,
,"Les barreaux rouge
",,"36,7845881, 3,0447692
",,,2,3,7h21,7h21,S1,Mauritania, ,,,
,climat de france,,"36,7854334, 3,0457395
",,,2,2,7h23,7h23,G1,Mauritania, ,,,
,Triolet,,"36,7880782, 3,0445801
",,,7,7,7h25,7h25,G2,Mauritania, ,,,
,Carnot,,"36,7728864, 3,0221857
",,,2,2,7h30,7h30,G2,Mauritania, ,,,
,chevally,,"36,7699155, 3,0119578
",,,5,5,7h33,7h33,G1,Mauritania, ,,,
,"AADL Douera
",,"36,6773871, 2,9609455",,,4,4,7h00,7h00,,Douera, ,,,
,"Stop Douera
",,"36,6709366, 2,9620794",,,1,1,7h05,7h05,,Douera, ,,,
,"Arrêt bus
",,"36,6700198, 2,9549555",,,2,2,7h10,7h10,G1,Douera, ,,,
