Points de Ramassage ,Localisation Coordonnées GPS,n max,Ligne,,,,,
Air de sport,"36.6901739, 2.8601893",2,Sidi abdellah,,,,,
"New Town
","36.6901736, 2.8556762",1,Sidi abdellah,,,,,
"CAAR sidi Abdellah
","36.6902949, 2.8541725",1,Sidi abdellah,,,,,
"Poste sidi Abdellah
","36.6909272, 2.8503416",6,Sidi abdellah,,,,,
Hôpital des grands brûlés zeralda,"36.6990339, 2.8441142",1,Sidi abdellah,,,,,
Cité police sidi menif,"36.6939256, 2.8253458",3,Zeralda,,,,,
Sidi menif,"36.6972701, 2.8240784",1,Zeralda,,,,,
Gare routière zeralda,"36.7128185, 2.833789",3,Zeralda,,,,,
Beridja,"36.7429712, 2.8702443",3,Zeralda,,,,,
Hôtel riad,"36.7573598, 2.8518799",1,Zeralda,,,,,
Centre de  vacances netcom,"36.7561903, 2.8589106",1,Zeralda,,,,,
Hai Khaled ibn walid,"36.7506361, 2.8720994",1,Zeralda,,,,,
Staoueli centre,"36.748613, 2.8852667",5,Zeralda,,,,,
Parc communal,"36.7554013, 2.8888813",1,Zeralda,,,,,
Club des pins,"36.7649186, 2.8958952",1,Zeralda,,,,,
AADL 3000 logement,"36.6315561, 3.3427134",2,Khmiss el khechna ,,,,,
Rond point pompiers,"36.6607315, 3.3308966",1,Khmiss el khechna ,,,,,
El djoumhouria,"36.6753921, 3.1938816",1,Khmiss el khechna ,,,,,
Remadnia,"36.6670436, 3.1790517",1,Khmiss el khechna ,,,,,
Hai El amir ,"36.6745112, 3.1701665",1,Khmiss el khechna ,,,,,
Ouled El hadj,"36.6603604, 3.1548173",4,Khmiss el khechna ,,,,,
Foyer,"36.6639608, 3.1479817",3,Khmiss el khechna ,,,,,
AADL lotissement,"36.6659278, 3.1446658",3,Khmiss el khechna ,,,,,
Rond Point eucalyptus,"36.6526068, 3.1473131",1,Khmiss el khechna ,,,,,
Baba Ali autoroute,"36.6489295, 3.0475202",2,Khmiss el khechna ,,,,,
Crèche la fonton,"36.7865576, 3.0240143",1,Bouzereah 1,,,,,
Dar El alia,"36.7900845, 3.0189476",1,Bouzereah 1,,,,,
Cimetière sidi Mhamed,"36.7927694, 3.0117734",2,Bouzereah 1,,,,,
Cfpa,"36.7970268, 3.0083217",1,Bouzereah 1,,,,,
Bouhamem,"36.7968458, 3.0039145",2,Bouzereah 1,,,,,
Bousmaha,"36.7963934, 2.9940554",3,Bouzereah 1,,,,,
Sidi Youssef,"36.796823, 2.9891677",1,Bouzereah 1,,,,,
Mosquée tawba,"36.7963432, 2.9867417",1,Bouzereah 1,,,,,
Lavage,"36.7936393, 2.9796764",1,Bouzereah 1,,,,,
Logts el amel,"36.7931966, 2.9784359",1,Bouzereah 1,,,,,
Sidi Youssef 2,"36.7838244, 2.9646543",5,Bouzereah 1,,,,,
Beni messous entré,"36.7893039, 2.9699658",1,Bouzereah 1,,,,,
Mosquée rahma (inv),"36.7847285, 2.9665191",1,Bouzereah 1,,,,,
Beni messous,"36.7831896, 2.9702685",1,Bouzereah 1,,,,,
Geureoumi El barage,"36.7802597, 2.9720549",1,Bouzereah 1,,,,,
Celeste,"36.795399, 3.0371997",3,Bouzereah 2,,,,,
Chemin sidi bennour,"36.7955885, 3.0357825",1,Bouzereah 2,,,,,
Chemin sidi bennour 2,"36.7953982, 3.0345101",4,Bouzereah 2,,,,,
Bouzareah,"36.7899701, 3.0166862",3,Bouzereah 2,,,,,
Société générale,"36.7848437, 3.013143",1,Bouzereah 2,,,,,
Air de France,"36.7798305, 3.0102797",7,Bouzereah 2,,,,,
Rue Djamel Eddine El afghani,"36.7794342, 3.0038971",3,Bouzereah 2,,,,,
Thenia,"36.721312, 3.5705516",1,Boumerdes,,,,,
Daïra de Boumerdes,"36.7565336, 3.4774075",6,Boumerdes,,,,,
Yssref,"36.7575723, 3.4564726",2,Boumerdes,,,,,
Corso naftal,"36.7552109, 3.4472511",1,Boumerdes,,,,,
Rond point berrahmoun,"36.7442626, 3.4369337",2,Boumerdes,,,,,
Entrée boudouaou,"36.7219745, 3.4193277",1,Boumerdes,,,,,
Benadjel,"36.7201898, 3.3982438",5,Boumerdes,,,,,
Ouled hedadj,"36.7234971, 3.3488835",3,Boumerdes,,,,,
Aissat,"36.7203913, 3.3362107",1,Boumerdes,,,,,
Rond Point hammadi,"36.671579, 3.2885338",4,Boumerdes,,,,,
Didouche mourad,"36.7660869, 3.0518469",6,Alger centre,,,,,
Bibliothèque Nationale,"36.7640674, 3.0441684",1,Alger centre,,,,,
Ouagnouni,"36.7750303, 3.0538988",3,Alger centre,,,,,
Scala,"36.774395, 3.042318",1,Alger centre,,,,,
Place Kennedy,"36.768516, 3.0304352",3,Alger centre,,,,,
Fougeroux,"36.7701457, 3.0045066",2,Alger centre,,,,,
Route Dely Brahim,"36.7691716, 2.9873757",3,Alger centre,,,,,
"Batoire
","36.7019473, 3.0284443",1,Shaoula,,,,,
"Rond point gendarmerie
","36.702847, 3.0277258",2,Shaoula,,,,,
"Centre de Formation
","36.7007043, 3.016998",1,Shaoula,,,,,
"Boujemaa temim
","36.7004747, 3.0116185",4,Shaoula,,,,,
"Mosquée Al anssar
","36.7105772, 3.003078",2,Shaoula,,,,,
"Stade draria
","36.7168387, 2.9997514",2,Shaoula,,,,,
"Pharmacie boudia
","36.714658, 2.9976059",1,Shaoula,,,,,
location number one,"36.707716, 2.9964875",5,Shaoula,,,,,
saraza,"36.7093723, 2.9935836",1,Shaoula,,,,,
chemin des cretes,"36.7112707, 2.9914208",3,Shaoula,,,,,
superette 1 2 3,"36.7195631, 2.9937711",1,Shaoula,,,,,
Draria,"36.7226058, 2.9922026",1,Shaoula,,,,,
Oued terfa,"36.7245871, 2.9903543",2,Shaoula,,,,,
"La Pérouse
","36.8048954, 3.2366156",9,Tamenfoust,,,,,
"Bordj El bahri
","36.7906711, 3.2499146",1,Tamenfoust,,,,,
"AADL faizi 1
","36.7846009, 3.2523665",1,Tamenfoust,,,,,
"Aadl faizi 2
","36.7843587, 3.2544767",1,Tamenfoust,,,,,
"Cité diplomatique
","36.7754605, 3.2653783",1,Tamenfoust,,,,,
"Dergana
","36.7672177, 3.2632888",1,Tamenfoust,,,,,
"Dergana 2
","36.7643059, 3.2611028",1,Tamenfoust,,,,,
"Rond point souachette
","36.752494, 3.2507344",2,Tamenfoust,,,,,
Stade 20 août,"36.7443513, 3.0777121",1,Ruisseau,,,,,
Café boutawi,"36.7432033, 3.0803682",2,Ruisseau,,,,,
CNAS ruisseau,"36.746943, 3.0871321",1,Ruisseau,,,,,
Jardin d'essai,"36.7503207, 3.0776303",1,Ruisseau,,,,, 
Sofitel,"36.7517974, 3.0731742",1,Ruisseau,,,,,
Cnep,"36.7551188, 3.0663952",3,Ruisseau,,,,,
Mustapha bacha,"36.7616659, 3.0562813",5,Ruisseau,,,,,
CNR,"36.7583816, 3.042994",1,Ruisseau,,,,,
Bir Mourad Rais,"36.739173, 3.0499057",2,Ruisseau,,,,,
Sonatrach,"36.7413304, 3.0448061",1,Ruisseau,,,,,
Place Perrine,"36.7433621, 3.0423965",2,Ruisseau,,,,,
Place qods,"36.7473294, 3.0403661",2,Ruisseau,,,,,
Parado,"36.747976, 3.0321028",2,Ruisseau,,,,,
Rond Point parado 2,"36.7449201, 3.0285328",1,Ruisseau,,,,,
Maqaria,"36.7333185, 3.1095225",3,H-dey,,,,,
Parnet,"36.7344897, 3.106972",1,H-dey,,,,,
Pharmacie benamadi,"36.7345005, 3.1062445",2,H-dey,,,,,
H-dey 1,"36.7362873, 3.1037141",2,H-dey,,,,,
Brigade gendarmerie,"36.7415832, 3.0971451",2,H-dey,,,,,
Lycée aicha,"36.741375, 3.0942915",1,H-dey,,,,,
Les annaceur,"36.7360111, 3.0759234",1,H-dey,,,,,
Rond point garidi,"36.7332357, 3.0618147",5,H-dey,,,,,
Cevital,"36.7326239, 3.0573602",1,H-dey,,,,,
El magharia,"36.7320859, 3.1213238",1,Bachdjerah,,,,,
Diar jemaa,"36.7231983, 3.1263848",3,Bachdjerah,,,,,
Bourouba,"36.723316, 3.1254601",2,Bachdjerah,,,,,
Metro bachjarah,"36.721659, 3.11808",3,Bachdjerah,,,,,
Etusa Bachjarah,"36.7212903, 3.1155467",6,Bachdjerah,,,,,
Mosquée Abi oubeida,"36.7199949, 3.113869",1,Bachdjerah,,,,,
LPP bachjarah,"36.7140078, 3.1018969",1,Bachdjerah,,,,,
