Points de Ramassage ,Localisation Coordonnées GPS,n max,Ligne,Heure,Heure de départ
"Dergana 2
","[36.7643059, 3.2611028]",1,Tamenfoust,6h23,6h23
"Dergana
","[36.7672177, 3.2632888]",1,Tamenfoust,6h24,6h24
"Cité diplomatique
","[36.7754605, 3.2653783]",1,Tamenfoust,6h26,6h26
"Aadl faizi 2
","[36.7843587, 3.2544767]",1,Tamenfoust,6h30,6h30
"AADL faizi 1
","[36.7846009, 3.2523665]",1,Tamenfoust,6h31,6h31
"Bordj El bahri
","[36.7906711, 3.2499146]",1,Tamenfoust,6h33,6h33
Alger plage,"[36.7803037, 3.2369046]",1,Tamenfoust,6h36,6h36
Doum ,"[36.7711136, 3.2428319]",2,Tamenfoust,6h39,6h39
Sidi driss,"[36.7660152, 3.2380311]",1,Tamenfoust,6h40,6h40
Artisanat 1,"[36.7633245, 3.2346519]",1,Tamenfoust,6h40,6h40
Ben Merad,"[36.7563356, 3.2255267]",1,Tamenfoust,6h41,6h41
Sorecal,"[36.7373679, 3.1928151]",1,Tamenfoust,6h46,6h46
Marché sorecal,"[36.7351634, 3.1896833]",2,Tamenfoust,6h46,6h46
huit mai,"[36.736646, 3.1852395]",1,Tamenfoust,6h46,6h46
Les bananiers,"[36.731667, 3.1742123]",5,Tamenfoust,6h48,6h48
Stade 20 août,"[36.7443513, 3.0777121]",1,Ruisseau,6h50,6h50
Café boutawi,"[36.7432033, 3.0803682]",2,Ruisseau,6h50,6h50
CNAS ruisseau,"[36.746943, 3.0871321]",1,Ruisseau,6h51,6h51
Jardin d'essai,"[36.7503207, 3.0776303]",1,Ruisseau,6h52,6h52
Sofitel,"[36.7517974, 3.0731742]",1,Ruisseau,6h52,6h52
Cnep,"[36.7551188, 3.0663952]",3,Ruisseau,6h53,6h53
Mustapha bacha,"[36.7616659, 3.0562813]",5,Ruisseau,6h54,6h54
CNR,"[36.7583816, 3.042994]",1,Ruisseau,6h56,6h56
Bir Mourad Rais,"[36.739173, 3.0499057]",2,Ruisseau,7h0,7h0
Sonatrach,"[36.7413304, 3.0448061]",1,Ruisseau,7h1,7h1
Place Perrine,"[36.7433621, 3.0423965]",2,Ruisseau,7h1,7h1
Place qods,"[36.7473294, 3.0403661]",2,Ruisseau,7h2,7h2
Parado,"[36.747976, 3.0321028]",2,Ruisseau,7h3,7h3
Rond Point parado 2,"[36.7449201, 3.0285328]",1,Ruisseau,7h3,7h3
Maqaria,"[36.7333185, 3.1095225]",3,H-dey,6h50,6h50
Parnet,"[36.7344897, 3.106972]",1,H-dey,6h50,6h50
Pharmacie benamadi,"[36.7345005, 3.1062445]",2,H-dey,6h50,6h50
H-dey 1,"[36.7362873, 3.1037141]",2,H-dey,6h50,6h50
Brigade gendarmerie,"[36.7415832, 3.0971451]",2,H-dey,6h51,6h51
